dept,semester,year,total
0,1,0,7
1,1,0,0
2,1,0,5
3,1,0,0
0,2,0,42
1,2,0,18
2,2,0,14
3,2,0,10
0,0,1,93
1,0,1,26
2,0,1,28
3,0,1,16
0,1,1,20
1,1,1,6
2,1,1,1
3,1,1,6
0,2,1,39
1,2,1,12
2,2,1,12
3,2,1,7
0,0,2,36
1,0,2,11
2,0,2,19
3,0,2,11
0,1,2,34
1,1,2,10
2,1,2,18
3,1,2,11
0,2,2,25
1,2,2,17
2,2,2,20
3,2,2,17
0,0,3,68
1,0,3,36
2,0,3,35
3,0,3,54
0,1,3,52
1,1,3,17
2,1,3,42
3,1,3,34
0,2,3,29
1,2,3,19
2,2,3,11
3,2,3,14
0,0,4,79
1,0,4,37
2,0,4,60
3,0,4,82
0,1,4,27
1,1,4,8
2,1,4,38
3,1,4,19
0,2,4,21
1,2,4,16
2,2,4,20
3,2,4,11
0,0,5,53
1,0,6,32
2,0,6,57
3,0,6,69
0,1,6,8
1,1,6,7
2,1,6,14
3,1,6,21
0,2,6,12
1,2,6,19
2,2,6,12
3,2,6,11
0,0,7,33
1,0,7,22
2,0,7,42
3,0,7,60
0,1,7,14
1,1,7,3
2,1,7,12
3,1,7,12
0,2,7,17
1,2,7,21
2,2,7,11
3,2,7,6
0,0,8,39
1,0,8,45
2,0,8,74
3,0,8,71
0,1,8,13
1,1,8,5
2,1,8,7
3,1,8,7
